,Original,Destination,passengers
396,Virginia,North Carolina,135957.0
397,Virginia,New Mexico,161.0
398,Virginia,U.S. Virgin Islands,1174.0
399,Virginia,Texas,123951.0
400,Virginia,New Jersey,23531.0
401,Virginia,New Hampshire,6185.0
402,Virginia,Alaska,0.0
403,Virginia,North Dakota,186.0
404,Virginia,Maine,21128.0
405,Virginia,Colorado,65310.0
406,Virginia,California,82449.0
407,Virginia,Missouri,19028.0
408,Virginia,Nevada,13908.0
409,Virginia,Delaware,0.0
410,Virginia,Wisconsin,5380.0
411,Virginia,New York,95881.0
412,Virginia,Puerto Rico,6861.0
413,Virginia,Ohio,33250.0
414,Virginia,Alabama,7980.0
415,Virginia,Utah,7521.0
416,Virginia,Hawaii,1461.0
417,Virginia,Illinois,111983.0
418,Virginia,Indiana,10631.0
419,Virginia,Idaho,0.0
420,Virginia,West Virginia,2229.0
421,Virginia,Tennessee,35704.0
422,Virginia,Arizona,13889.0
423,Virginia,Massachusetts,63791.0
424,Georgia,Montana,1918.0
425,Georgia,Florida,599123.0
426,Georgia,Washington,42093.0
427,Georgia,Arkansas,26973.0
428,Georgia,South Dakota,2275.0
429,Georgia,Mississippi,32253.0
430,Georgia,Kansas,7421.0
431,Georgia,Virginia,158581.0
432,Georgia,Georgia,110494.0
433,Georgia,Kentucky,71211.0
434,Georgia,Rhode Island,13017.0
435,Georgia,Oklahoma,26370.0
436,Georgia,Louisiana,53655.0
437,Georgia,Minnesota,50482.0
438,Georgia,U.S. Pacific Trust Territories and Possessions,0.0
439,Georgia,Michigan,77272.0
440,Georgia,Pennsylvania,104697.0
441,Georgia,Nebraska,17517.0
442,Georgia,Wyoming,4628.0
443,Georgia,Oregon,16646.0
444,Georgia,Iowa,11999.0
445,Georgia,South Carolina,98844.0
446,Georgia,Vermont,1987.0
447,Georgia,Maryland,65688.0
448,Georgia,Connecticut,24737.0
449,Georgia,North Carolina,162061.0
450,Georgia,New Mexico,12399.0
451,Georgia,U.S. Virgin Islands,9177.0
452,Georgia,Texas,256981.0
453,Georgia,New Jersey,67967.0
454,Georgia,New Hampshire,0.0
455,Georgia,Alaska,3949.0
456,Georgia,North Dakota,0.0
457,Georgia,Maine,7456.0
458,Georgia,Colorado,73635.0
459,Georgia,California,171733.0
460,Georgia,Missouri,69899.0
461,Georgia,Nevada,65711.0
462,Georgia,Delaware,0.0
463,Georgia,Wisconsin,41258.0
464,Georgia,New York,169844.0
